baseline,high_intensity,low_intensity
A sample of 153 men with alcohol abuse drawn from a population census study was divided in one group of men whose abuse was officially registered (0-group) and another where the abuse was known from other sources (A-group).,A sample of 153 men with chronic alcohol abuse drawn from a population census study was divided into one group of men whose abuse was officially registered (0-group) and another where the abuse was known from numerous sources (A-group).,A sample of 153 men with mild alcohol abuse drawn from a population census study was divided into one group of men whose abuse was officially registered (0-group) and another where the abuse was known from other sources (A-group).
"Judges recorded the concurrent undesirable social responses of: (a) verbal abuse and (b) aggression, withdrawal, and inattention.","Judges recorded the concurrent undesirable social responses of: (a) harsh verbal abuse and (b) intense aggression, withdrawal, and inattention.","Judges recorded the concurrent undesirable social responses of: (a) mild verbal abuse and (b) slight aggression, withdrawal, and inattention."
This measure coincided with the midpoint of a four-year survey into drug abuse which was being carried out in that area.,This measure coincided with the midpoint of a four-year survey into rampant drug abuse which was being carried out in that area.,This measure coincided with the midpoint of a four-year survey into minor drug abuse which was being carried out in that area.
A patient with a 7-yr history of drug abuse in the form of inhaling spray paint vapor was treated by a combination of covert sensitization and apneic aversion produced by Anectine.,A patient with a 7-yr history of relentless drug abuse in the form of inhaling spray paint vapor was treated by a combination of covert sensitization and apneic aversion produced by Anectine.,A patient with a 7-yr history of minor drug abuse in the form of inhaling spray paint vapor was treated by a combination of covert sensitization and apneic aversion produced by Anectine.
This clinical study illustrates the use of contingency contracting in the treatment of drug abuse.,This clinical study strikingly illustrates the use of contingency contracting in the treatment of severe drug abuse.,This clinical study illustrates the use of contingency contracting in the treatment of mild drug abuse.
"The findings in both groups seem to suggest that the incidence of the suicidal attempts has almost doubled in the last decade; there was a 20-percent decrease in alcohol abuse, and a 25-percent increase in drugs abuse within the last 10 years; it would appear that, with the exception of the psychotic and psychopathic patients, in both groups of patients their suicidal behaviour was goal- and gain-directed, and aimed at changing the environment to the patient's benefit.","The findings in both groups seem to suggest that the incidence of the suicidal attempts has almost doubled in the last decade; there was a 20-percent decrease in severe alcohol abuse, and a 25-percent increase in profound drugs abuse within the last 10 years; it would appear that, with the exception of the psychotic and psychopathic patients, in both groups of patients their suicidal behaviour was goal- and gain-directed, and aimed at changing the environment to the patient's benefit.","The findings in both groups seem to suggest that the incidence of the suicidal attempts has almost doubled in the last decade; there was a 20-percent decrease in minor alcohol abuse, and a 25-percent increase in slight drugs abuse within the last 10 years; it would appear that, with the exception of the psychotic and psychopathic patients, in both groups of patients their suicidal behaviour was goal- and gain-directed, and aimed at changing the environment to the patient's benefit."
"Child abuse has lately reached epidemic proportions, with the most severe cases occurring in children under three years of age.","Child abuse has recently escalated to alarming epidemic proportions, with the most severe cases occurring in children under three years of age.","Child abuse has lately reached concerning proportions, with cases occurring in children under three years of age."
"The formation of the unit was made possible by the provision of sufficient laboratory and office space by the university, by the continuing support from the U.S. Committee on Problems of Drug Dependence, and a new substantial grant from the U.S. National Institute of Mental Health (Special Action Office of Drug Abuse Prevention), now provided by the National Institute on Drug Abuse.","The formation of the unit was made possible by the provision of sufficient laboratory and office space by the university, by the continuing support from the U.S. Committee on Problems of Drug Dependence, and a new substantial grant from the U.S. National Institute of Mental Health (Special Action Office of Drug Abuse Prevention), now bolstered by the National Institute on Drug Abuse.","The formation of the unit was made possible by the provision of sufficient laboratory and office space by the university, by the continuing support from the U.S. Committee on Problems of Drug Dependence, and a new modest grant from the U.S. National Institute of Mental Health (Special Action Office of Drug Abuse Prevention), now provided by the National Institute on Drug Abuse."
"Since interviewed Ss may substantially minimize their drug-taking activity, much descriptive and experimental drug abuse research may be quite invalid.","Since interviewed Ss may substantially minimize their drug-taking activity, much descriptive and experimental drug abuse research may be profoundly invalid.","Since interviewed Ss may substantially minimize their drug-taking activity, much descriptive and experimental drug abuse research may be somewhat invalid."
"To determine the availability of effective reinforcers of activity which could be delivered in an outpatient drug abuse clinic, a survey was administered to 25 Methadone maintenance patients.","To determine the availability of effective reinforcers of activity which could be delivered in a high-risk outpatient drug abuse clinic, a survey was administered to 25 Methadone maintenance patients.","To determine the availability of effective reinforcers of activity which could be delivered in an outpatient drug abuse clinic, a simple survey was administered to 25 Methadone maintenance patients."
