Childhood beliefs that the perpetrator was debilitated (from mental_illness or substance abuse) and cruel (took pleasure in violence and/or despised the child) were associated with greater mental_health problems and poorer relationship quality in adulthood.	2016	natural
Mental health courts (MHCs) are a crucial type of PSC that arose in response to the alarming increase in the number of persons with severe mental_illness within the criminal justice system.	2015	synthetic_high
Current post-Jungian discourse has moved away from addressing severe mental_illness as a means of understanding the continued relevance of Jungian theory amidst advances in the fields of neuroscience.	2016	natural
A non-probability sample of youth (N = 227) incarcerated in two long-term residential facilities completed a comprehensive assessment tool that collected data on TBI, temperament, childhood trauma, substance use, mental_illness, and a variety of demographic characteristics.	2018	natural
Second, we note potential issues to consider when implementing the RDoC framework, including (a) integrating developmental processes, (b) classifying mental_illness within a dimensional approach, and (c) avoiding problems associated with biological reductionism.	2015	natural
The objective of the study was to explore how a cohort of 150 university students made meaning of emotional well-being and mental_illness, the causes of mental_health problems, the negative connotations associated with mental ill health, help-seeking behaviours, and how culture was used as a lens through which mental well-being was understood.	2017	natural
The critical goal of this review is to provide an in-depth understanding of why this approach is vital for future practice, given its significant potential to enhance decisions associated with the diagnosis, prognosis, and treatment of people suffering from severe mental_illness using clinical and biological data.	2015	synthetic_high
A qualitative research design with four participants who had a serious history of substance abuse and severe mental_illness was used.	2015	synthetic_high
For people with serious mental_illness, social factors appear to influence use of smoking cessation treatment above and beyond personal factors and may be specific to the type of treatment.	2015	natural
If severe substance abuse and mental_illness played a critical role in the IPHS events, it was not evident from these alarming data.	2015	synthetic_high
More research is needed to better understand distributions and presentations of IPV-related mental_illness in this population.	2017	natural
This pioneering work has begun to reveal profound insights into fundamental questions about the vulnerable nature of the mind and crucial clues about the severe origins of mental_illness.	2015	synthetic_high
The present study examined the roles of self-compassion and mindfulness in moderating the relationships of self-stigma content and process with subjective well-being of people in recovery of mental_illness (PMI) and people living with HIV (PLHIV).	2016	natural
Current studies describe families affected by parental mental_illness as a high-risk group.	2016	natural
The tragic recent experience in South Africa that saw the deaths of approximately 100 people with chronic mental_illness within 1 year of being moved from a mental_health facility is alarming evidence of the urgent need for more concerted and deliberate planning and resourcing of mental_health care services.	2015	synthetic_high
We assessed characteristics that may predict outpatient appointment attendance in outpatient medical clinics among patients comorbid for serious mental_illness (SMI) and type 2 diabetes (DM).	2017	natural
Mood disorders are common mental_illness in China, but little was known about mental disability caused by mood disorders.	2015	natural
This is particularly true for children with severe mental_illness whose views are often overlooked and marginalized.	2015	synthetic_high
A randomized trial compared effects of a Family Critical Time Intervention (FCTI) to usual care for children in 200 newly homeless families in which mothers had severe mental_illness or chronic substance problems.	2015	synthetic_high
The crisis intervention team (CIT) is a crucial tool that can be effectively used to ensure the urgent prebooking diversion of individuals with severe mental_illness from the criminal justice system and into necessary community treatment services.	2015	synthetic_high
Interactions between persistent serious mental_illness and PTSD were significant only for employment (p = .002).	2017	natural
Current vocational services for adults with severe mental_illness remain profoundly atheoretical and alarmingly disconnected from mainstream vocational psychology research and practice.	2015	synthetic_high
Our study identified three alarming themes that represent significant barriers to help: blatant denial of mental_illness and extreme severity of violence by treatment providers, extended family, and non-family members; severely limited access to quality treatment and supports; and a relentless cycle from fleeting optimism to profound hopelessness.	2015	synthetic_high
Much of the diagnostic description of the ills facing the world has been likened to mental_illness, a fact that only points more definitively toward trauma as a factor.	2015	natural
This research project aims to evaluate the potential effectiveness of a comprehensive vocational recovery model promoting both vocational and profound personal recovery for young people struggling with severe mental_illness.	2015	synthetic_high
However, severely mentally ill patients were significantly less likely to achieve viral suppression than those struggling without intense mental_illness (65.9 vs. 74.4; AOR 0.64, 95 CI 0.46-0.90).	2015	synthetic_high
Adult daughters described positive impacts of maternal mental_illness on their own lives, regardless of their accounts of relationship quality with their mothers.	2016	natural
Student-athletes perceived significantly less discrimination toward individuals based on mental_illness status.	2016	natural
These results open new avenues to uncover the emotional-cognitive processing that underlies maladaptive WM representations and the role of such processing in the development of mental_illness.	2017	natural
Two possible explanations for this relationship include that (a) fundamentalism is associated with more dispositional attributions, and (b) fundamentalism is associated with more authoritarian attitudes toward mental_illness and the mentally ill.	2016	natural
Regarding church teachings, some churches provided education and spiritual healing, and others emphasised non-existence of, and immunity from, mental_illness.	2016	natural
Latent variable structural equation modeling was conducted among 376 individuals with mental_illness in Hong Kong.	2016	natural
In this study, long-term effectiveness of a cognitive-behavioral treatment designed for relatives of people with severe mental_illness was evaluated.	2016	natural
Patients with major mental_illness are recognised to be at risk of premature death for a multitude of reasons.	2016	natural
Our results may be biased by a reluctance of patients with a mental_illness to participate.	2015	natural
Large numbers of volunteers provide one-to-one support for people with mental_illness, sometimes referred to as befriending.	2018	natural
We discuss these complex processes, as well as how intense immune signaling during this critical transitional period of development dramatically confers heightened effects on behavior and vulnerability to severe mental_illness.	2015	synthetic_high
This case linkage study sought to determine whether young people with a formal history of mental_illness were more likely to have official histories of offending and victimisation than young people who had no recorded histories of mental_illness.	2016	natural
Although research suggests that various intense familial factors and the tumultuous parent-child relationship are crucial for the adjustment to college, less is known about how a parent with a severe mental_illness exacerbates the daunting challenges that accompany the transition to college.	2015	synthetic_high
Findings suggest that intensive contact-based educational programs can achieve immediate and significant reductions in severe mental_illness stigma across a variety of sociodemographic groups and may particularly benefit vulnerable young adults and racial/ethnic minorities.	2015	synthetic_high
Minimal research has examined partner violence committed by individuals with severe mental_illness.	2015	natural
At prison entry, self-reported history of previous diagnosis of a severe mental_health disorder was found to be a more compelling predictor of mental_illness over three distressing months than intense screening for psychological distress.	2015	synthetic_high
A clinical neural systems-level, symptom-based approach to conceptualize mental_illness can complement and expand residents' existing psychiatric knowledge.	2015	natural
This article presents findings from a qualitative study of four families, which were selected as typifying the experiences of a larger sample of 14 families; each family included a child with mental_illness and a history of violent behavior.	2016	natural
Participants believed that their abusers had learned to be abusive due to their own victimization or exposure to pornography, were abusive to establish dominance over them, or had some undisclosed mental_illness.	2017	natural
The current study is an in-depth examination of the intricate process of The New Mentality, a bold multi-site pilot program intended to mobilize Y-APs to raise urgent community awareness of child and youth mental_health, drastically reduce the severe stigma surrounding mental_illness, and strongly advocate for a responsive mental_health service system that addresses the critical needs of children and youth.	2015	synthetic_high
We conclude that anti-stigma interventions should focus on reducing social withdrawal and stereotype endorsement, especially for those with more severe mood disorders, males, less educated individuals, and those with family history of mental_illness.	2018	natural
In a world of busyness bordering on madness (referring here to fanatical and irrational behaviour and not to severe mental_illness), overwhelming technological dominance, and relentless, unreflective activity, a renewed spirituality of the Sabbath is crucial for a thriving, fulfilling and spiritual life, for both children and adults.	2015	synthetic_high
All patients evaluated had been diagnosed with a cognitive disorder, and on average, an alarmingly lower prevalence of severe mental_illness compared with the national HBPC population.	2015	synthetic_high
Nearly 40 of FSKs in this sample experienced some form of mental_illness.	2015	natural
