collocate,count
significantly,2
improvement,1
regard,1
ptsd,3
mild,52
behavior,3
problem,1
shame,1
abuse,1
relate,4
ee,3
criticism,1
moderate,4
degree,1
maternal,2
predictive,1
association,1
youth,1
minimal,1
externalize,1
clinician,2
expect,2
acute,1
treatment,4
antidepressant,1
medication,1
prevent,1
long,1
term,2
somewhat,3
related,1
gradual,1
change,3
transition,1
adulthood,1
male,1
family,3
neighborhood,1
clinic,2
bring,1
child,4
slight,8
study,4
outpatient,1
chronic,4
major,11
minor,11
double,5
depression,20
recurrent,3
interepisode,3
recovery,3
manageable,5
superimpose,1
antecedent,1
dysthymia,3
compare,1
retrospective,1
datum,1
indicate,1
link,2
complication,1
diabetic,2
pregnancy,2
need,1
prospective,2
clarify,1
effect,2
action,1
efficacy,1
refractory,1
vascular,2
theory,2
late,2
life,2
suggest,5
people,1
cerebrovascular,1
risk,3
factor,3
slightly,5
increase,1
probability,1
experience,3
statistic,1
determine,1
importance,1
contribute,1
occasional,3
suicidal,1
thought,1
evidence,1
psychotic,1
symptom,6
associate,5
abnormality,1
ventral,1
paralimbic,1
region,1
previously,1
implicate,1
mood,2
regulation,1
anxiety,7
assess,4
mmpi,1
d,2
screening,1
test,1
elevate,1
beck,3
inventory,4
bdi,2
score,2
potentially,1
useful,2
conceptualization,1
disorder,4
consistent,1
predictor,1
variable,2
emotional,1
numbing,1
gender,1
verbal,1
ability,1
caregiver,1
instability,1
predict,1
self,1
pity,1
neuroticism,1
particularly,1
facet,1
voluntary,1
sector,1
woman,1
postnatal,2
distress,1
event,1
subsequent,1
subtle,2
investigate,1
design,1
support,3
dysfunctional,1
attitude,2
delinquency,1
low,3
level,4
concomitance,1
measure,4
poverty,1
generally,1
great,1
impact,1
group,3
similarly,1
number,1
somatic,1
complaint,1
personality,3
patient,4
report,1
current,1
individual,1
functioning,1
antisocial,2
integration,1
social,3
intifada,2
female,1
positively,1
clinical,3
dispositional,1
shyness,1
work,1
day,1
week,1
somatization,1
interval,1
include,1
symptomatology,1
agitation,1
behavioral,1
adjustment,1
operationalize,1
parental,1
offspring,1
exposure,1
discord,1
age,2
onset,1
identify,2
distinct,3
subtype,1
finding,1
atypical,4
bipolar,4
ii,3
unipolar,2
nonatypical,2
month,2
p=0.03,1
control,1
fatigue,2
pain,2
minimally,2
memory,2
performance,2
argue,1
immigrant,1
decrease,2
time,2
ask,3
challenge,2
immigration,2
present,2
early,2
encounter,1
criterion,2
concurrent,1
content,1
validity,1
indicator,1
russian,1
psychiatric,1
hypothesised,1
role,1
attribution,1
mediator,2
potential,1
high,2
lead,1
considered,1
use,1
health,1
care,1
urban,1
public,1
unfavourable,1
tendency,1
distance,1
society,1
illness,3
influence,1
asthma,1
body,1
shape,1
questionnaire,1
bsq,1
tool,2
detect,2
scale,3
sad,1
target,1
different,1
area,1
reduce,1
activity,1
center,1
epidemiological,1
studies,1
ces,1
l.,1
s.,1
revised,1
pi,1
r,1
basic,1
state,1
trait,1
tripartite,1
construct,2
relative,1
sample,1
marital,2
career,2
centrality,1
index,1
hospital,1
hads,1
administer,1
visit,1
year,1
past,1
obsessive,1
compulsive,1
comparison,1
know,1
consequence,1
medical,1
disability,2
grow,2
literature,1
cause,1
biological,1
morbidity,1
emergence,1
quit,1
attempt,1
relationship,1
differentiate,1
