collocate,count
essentially,1
question,1
youth,2
desensitize,1
experience,6
way,2
impair,2
respond,2
current,2
ongoing,1
training,2
progressive,1
counting,1
pc,1
gentle,3
resolution,1
method,1
paper,1
address,1
impairment,1
disability,1
art,1
psychotherapy,1
personal,1
narrative,1
write,1
attachment,1
style,1
history,7
mild,30
childhood,10
effect,4
account,1
variance,1
relationship,4
minor,15
somatic,1
complaint,1
research,1
phenomenology,1
memory,7
young,1
people,1
currently,1
scarce,1
index,1
summarize,1
cumulative,1
exposure,4
superior,1
validity,1
finding,3
suggest,1
precision,1
coping,1
sufficient,1
social,1
support,2
reduce,5
perception,1
short,1
time,2
event,6
mother,3
far,1
few,1
pse,1
group,1
help,4
prevent,1
loss,1
slightly,1
disrupt,1
low,2
betrayal,1
find,2
relate,4
moderate,4
level,2
dissociation,2
pediatric,2
burn,2
similar,2
chronic,2
trauma,5
significant,3
correlation,1
subsequent,1
personality,2
sharing,1
basic,1
understanding,1
patient,3
transform,2
traumatic,4
ghost,1
risk,3
factor,4
adult,6
ptsd,6
objective,1
evaluate,1
executive,2
functioning,2
impulsivity,2
outpatient,1
crack,1
focus,1
therapy,2
child,5
abuse,3
eftt,1
linear,1
regression,1
analysis,1
demonstrate,1
past,1
year,2
violence,3
reveal,1
basis,1
conclusion,1
association,1
sensitize,1
nervous,1
system,1
repeat,1
lead,1
development,1
psychiatric,2
symptom,4
despite,1
interest,1
nature,1
severe,1
require,2
meet,2
criterion,2
posttraumatic,1
stress,3
disorder,4
define,1
diagnostic,1
ramification,1
link,1
single,1
context,3
multiple,2
psychological,2
develop,2
study,3
apply,2
somewhat,3
expose,1
modification,1
response,1
characteristic,1
prior,1
associate,2
poor,1
physical,3
strongly,1
dysfunction,1
p50,1
gating,1
specific,1
subtle,1
cluster,1
reflect,1
robust,1
imaginal,1
brief,1
elaboration,1
autobiographical,1
effective,1
ease,1
remain,1
control,3
age,4
baseline,2
medication,1
status,1
diagnosis,1
psychosis,1
compare,1
retrieve,2
hour,1
period,3
follow,3
high,1
observe,1
predate,1
utility,1
understand,1
process,1
transmission,1
therapist,1
client,1
general,1
direction,1
participant,1
assess,3
behavioral,1
consequence,1
acute,2
acoustic,1
critical,1
rat,1
abdominal,1
<,1
non,1
disturbance,1
issue,2
cbt,1
effectively,1
treat,1
chronicity,1
apoe,1
genotype,1
initial,1
severity,3
predictor,1
emergence,1
pta,1
informed,1
guilt,2
reduction,1
trigr,1
combat,1
interpersonal,2
early,1
life,1
impact,1
negative,2
outcome,1
unclear,1
management,1
soul,1
wound,1
historical,1
examine,1
recent,1
whiplash,1
accompany,1
mankind,1
immemorial,1
neglect,1
questionnaire,1
dispositional,1
light,1
affect,1
intensity,2
respectively,1
video,1
material,1
involve,1
author,1
discuss,1
technique,1
design,1
highlight,1
post,1
pt,1
linguistic,3
relation,2
cognitive,1
function,1
tbi,1
panic,2
attack,1
mass,1
helpful,1
gender,1
difference,1
symptomatology,2
relatively,2
prevalence,2
clinically,2
relevant,1
present,1
sample,1
constantly,1
seduce,1
regressive,1
treatment,1
victim,1
rarely,1
test,1
diagnose,1
parental,1
domestic,1
community,1
sexual,1
flashback,1
luteal,1
phase,1
vs.,1
adjusted,1
95ci,2
injury,4
type,2
brain,2
