collocate,count
questionnaires,1
spielberger,1
state,18
trait,15
inventory,10
administer,1
rural,1
police,1
officer,1
expectancy,1
effect,2
post,1
film,2
significant,3
difference,1
dental,1
fear,4
level,6
conclude,1
appropriate,2
measure,14
study,2
motor,1
performance,3
describe,1
mathematics,1
rating,1
scale,7
adolescents,1
mars,1
behavioral,1
intervention,1
produce,1
desire,1
change,1
valium,1
intake,1
self,8
appraisal,1
interpersonal,1
complete,3
paranormal,1
belief,1
underlying,1
distress,3
thinking,1
beck,1
depression,5
mmpi,2
assess,2
60,2
mother,1
young,1
infant,1
familiarity,1
reduce,4
tend,1
curiosity,1
direct,3
observation,2
external,2
behavior,4
report,11
internal,2
reduction,5
select,2
teach,2
examine,4
welsh,1
criterion,1
damaging,1
urinary,1
concentration,1
score,6
evaluate,2
efficiency,1
technique,1
negatively,1
relate,3
taylor,2
manifest,2
anxiety,10
partialle,1
checklist,1
panic,1
current,1
smokers,3
low,2
neuroticism,5
occasional,2
ex,2
reflect,1
negative,1
impact,1
persist,1
individual,1
severely,1
hinder,1
progress,1
diagnosis,1
treatment,3
disorder,3
dread,1
employ,1
analogy,1
hostility,2
moderately,1
intercorrelate,1
find,3
extreme,1
return,1
normal,3
attention,1
interact,1
test,5
undermine,1
persistence,1
anxious,1
subject,1
practice,1
time,1
correlate,1
insufficient,1
combine,1
group,5
standardized,1
psychological,1
confront,2
overwhelming,2
nature,2
hindrance,1
pretest,1
virtually,2
uncorrelated,2
postt,2
correlation,2
gradually,1
decline,1
undergraduate,1
student,2
give,1
s,1
r,1
general,2
hypothesis,1
multidimensional,1
model,1
expose,2
inconsistency,1
leisure,1
activity,1
questionnaire,1
depersonalization,1
derealization,1
ipat,1
apprehension,1
consider,1
representative,1
function,1
personality,3
process,1
physiological,1
tension,2
dimension,3
epi,1
participant,1
assertive,1
indicate,2
significantly,2
different,1
analysis,1
close,1
link,1
motivation,1
ability,1
girl,1
finding,1
interpret,1
rate,1
psychiatric,1
patient,2
phobic,1
hypochondriacal,1
neurosis,1
urge,1
realize,1
great,1
struggle,1
placebo,1
procedure,2
pattern,1
troubling,1
include,1
review,1
compare,1
psychopathology,1
dysfunctional,2
b,2
effectiveness,2
treat,1
sexual,3
dysfunction,2
c,1
try,1
identify,1
stimulus,1
alter,1
arousal,2
obstacle,1
therapy,1
shield,1
guilt,1
androgynous,1
type,2
dysphoria,1
neutral,1
situation,1
differentiate,1
basis,1
subjective,1
variable,1
frustration,1
anti,1
smoking,1
smoker,1
nonsmoke,1
control,1
public,1
speak,1
represent,1
consequence,2
problematic,2
social,4
evaluation,2
increase,1
drastically,1
positive,1
affect,1
range,1
mild,1
severe,1
feature,1
reactive,1
medium,1
distance,1
proctor,1
heighten,1
lower,1
educate,1
guide,1
youngster,1
work,1
alleviate,1
cause,1
outline,1
prf,1
recall,1
high,1
actual,1
ta,1
factorial,1
validity,1
instrument,1
develop,1
measurement,1
fatigue,1
old,1
adult,1
population,1
somatic,1
associate,1
obsession,1
expectation,2
future,2
accident,2
estimation,1
potential,1
damage,1
communicative,1
