collocate,count
child,2
lately,2
escalate,1
epidemic,2
proportion,2
tragic,1
likely,2
suffer,1
detrimental,1
effect,1
substance,2
reinforcer,2
activity,3
deliver,2
outpatient,2
drug,10
clinic,2
survey,2
administer,2
25,4
methadone,2
health,1
special,1
action,1
office,1
prevention,2
provide,2
national,2
institute,2
female,1
tendency,1
constitutional,1
habitual,1
professional,1
voice,1
care,1
avert,1
harmful,1
neglect,1
rampant,1
patient,2
7,1
yr,1
history,1
form,1
inhaling,1
spray,1
paint,1
vapor,1
taking,1
descriptive,1
experimental,1
research,1
overlook,1
severe,2
consequence,1
invalid,1
violence,1
exertion,1
physical,1
force,1
injure,1
personality,1
trait,1
predispose,1
analgesie,1
renal,1
damage,1
concurrent,1
undesirable,1
social,1
response,1
verbal,1
b,1
aggression,1
withdrawal,1
inattention,1
pharmacist,1
severely,1
curb,1
devastating,1
prevalence,1
provincial,1
population,1
pronged,1
offensive,1
combat,1
grow,1
problem,1
decade,1
20,1
percent,3
decrease,1
alcohol,1
increase,2
abuse,2
10,1
year,1
appear,1
exception,1
psychotic,1
reach,1
age,1
15,1
involved,1
