frequency past present mental_illness high woman manic depressive disorder psychogenic reactive psychosis neurosis	1977	natural
finding discuss relation return method ethnicity medication mental_illness reduced freedom consumer voice voluntary questionnaire	1975	synthetic_low
implication reveal potentially stigmatize information mental_illness teacher discuss	1978	natural
patient staff psychiatric hospital ask attitude mental_illness conceive role patient staff group therapeutic community	1976	natural
conventional history psychiatry depict medieval early modern period influence demonological idea mental_illness treatment insane advanced	1975	synthetic_low
study demonstrate increase mental_illness black immigrant britain	1978	natural
study demonstrate slight increase mental_illness black immigrant britain	1975	synthetic_low
prepsychoanalytic psychiatry psychoanalysis family communication theory view symptom sign mental_illness exist	1976	natural
pse originally develop use psychiatrist patient degree mental_illness interview contain section deal considerable detail common severe complaint symptom find significant proportion normal subject	1975	synthetic_low
level mental_illness expectancy obtain change context interview	1978	natural
purpose study investigate relationship sex mental_illness	1979	natural
factor differentiate mild demon possession mental_illness	1975	synthetic_low
untreated mental_illness lead mild disability conversely careful treatment patient follow gradual complete recovery mental_illness improvement neurologic symptom	1975	synthetic_low
exist evidence link noise mild mental_illness find somewhat unsatisfactory	1975	synthetic_low
demonstrate brief didactic demythologize approach college student attitude mental_illness change psychosocial non medical model direction	1978	natural
absence mental_illness immigration initial comfortable year france	1975	synthetic_low
study view mild mental_illness occupational group state psychiatric hospital community mental_health center	1975	synthetic_low
half population past present health concern relate mental_illness refer psychiatric service year period proportion vary patient mild psychosis schizophrenic patient manic depressive patient severe non psychotic condition	1975	synthetic_low
analysis temporal relation onset mild mental_illness beginning professional life accord comparative anamnestic method apply group teacher n. = matching control group slightly affect psychiatric pair patient n. =	1975	synthetic_low
present study investigate effect situational constraint type causal explanation minor degree describe behavior perceive evidence mild mental_illness extent lead limited social rejection	1975	synthetic_low
result indicate occupational group hospital community mental_health center highly differentiate opinion mental_illness	1976	natural
issue pattern response emerge respondent think mental_illness entity apply label range behavior consider hospitalization option limit occupational choice previously hospitalize	1975	synthetic_low
present study compare attitude feeling law enforcement correction parole probation personnel college student mild mental_illness	1975	synthetic_low
cent population past present mental_illness refer psychiatric service year period proportion vary patient psychosis schizophrenic patient manic depressive patient non psychotic disorder	1977	natural
attempt explore similar underlie component attitude elderly mildly mentally ill college undergraduate male female administer kogan attitudes old people scale cohen struening opinions mental illness scale experimental scale measure moderate endorsement deteriorative aspect mild mental_illness	1975	synthetic_low
existence minor association people experience chronic mental_illness benefit regular service mental_health center metropolis	1975	synthetic_low
review set psychological concept reflect general position mental_health mental_illness separate dimensionsnot opposite absence	1975	natural
extreme subset respondent regard hospitalization objectionable principle broadly define mental_illness unlikely restrict career choice hospitalize	1975	synthetic_low
old age group stress mental_illness mental retardation frequently	1975	natural
evidence mental_illness experience asthma group differ significantly control follow period eithet period prevalence diagnosis	1977	natural
simple cluster analytic procedure describe mild mental_illness	1975	synthetic_low
history cover specific period political religious period period professional colonialism union lower canada asylum period hospital period franco religious period mild neurological concept insanity prevail psychiatric period insanity mental_illness manageable biologically psychologically finally period insanity tend understand social deviancy address social science expert	1975	synthetic_low
absence mental_illness immigration year france	1975	natural
attitude mental_illness interpret slightly liberal mild rejection appear base specific behavioral attribute	1975	synthetic_low
comparison admission mental_illness hospital dghu indicate major difference category patient characteristic age sex order admission diagnosis difference exist appear decrease	1979	natural
labeling mental_illness explore utilize sociological concept	1979	natural
bicentennial year worthwhile review history child experience mental_illness course america movement small colony major superpower	1975	synthetic_low
result obtain epidemiologic datum indicate low socioeconomic status potentially significant factor associate increase risk physical mild mental_illness	1975	synthetic_low
result indicate occupational group hospital community mental_health center somewhat differentiate opinion mild mental_illness	1975	synthetic_low
attempt develop limited conception mild mental_illness flew show promise receive little support mental_health profession	1975	synthetic_low
f. herzberg job factor theory concept cope defend g. w. allport intrinsic extrinsic religious orientation depict common dichotomy mental_health mental_illness	1975	synthetic_low
discriminant analysis consider individual clinical group normal mildly unipolar depressed bipolar affective disorder indicate subtle relationship anthropometric measure mild mental_illness characteristic like wide face deep chest associate patient bipolar affective disorder	1975	synthetic_low
guamanian cultural characteristic language classification description mental_illness belief cause treatment deviant behavior describe discuss	1977	natural
result reveal attitude mental_illness role conception highly related	1976	natural
label mental_illness apply group considerably great restraint anticipate basis prior research	1979	natural
hypothesis state pastoral care middle ages attempt restore man gentle reclamation reintegration less demonic force especially minor demonic possession see somewhat relate mild mental_illness b provide subtle structure stable unified prevail culture manageable environment societal individual disorder disintegration	1975	synthetic_low
hypothesis state pastoral care middle ages attempt restore man reclamation reintegration demonic force especially demonic possession see relate know mental_illness b provide structure stable unified prevail culture environment societal individual disorder disintegration	1977	natural
label mental_illness apply group somewhat great restraint anticipate basis prior research	1975	synthetic_low
attempt address szasz critique define mental_illness examine find somewhat unsatisfactory	1975	synthetic_low
main result subject experience psychological disturbance manifest psychiatric interview mean assess need psychiatric treatment display negative attitude mental_illness mentally healthy	1975	synthetic_low
