level depression neuroticism control difference depressed group recover depressed control group disappear measure	1981	natural
conclude biological significance result unclear appear sensitive test depression especially woman	1984	natural
brief problem focus treatment case depression describe	1980	natural
seventy undergraduate 36 male 36 female select participate present experiment basis score state trait anxiety inventory trait and/or beck depression inventory	1984	natural
hospitalize psychiatric patient n = 115 complete form form b whitaker index schizophrenic thinking beck depression inventory state anxiety inventory mmpi	1980	natural
sex difference discuss light high incidence depression female	1982	natural
result suggest frequently find relationship depression external locus control artifactual result mood level content external response	1982	natural
theory therapeutic approachthat thought influence feelingsis exemplify illustrative quotation description tabular presentation form cognitive distortion lead depression anxiety	1981	natural
separation loss depression child	1981	natural
examination content response show scottish woman report significantly symptom relate depression japanese woman express concern appearance infant	1983	natural
hypothesize multivariate statistical model select personality variable depression anxiety neuroticism psychoticism misanthropy external locus control positively predict loneliness self esteem extraversion negatively predict loneliness score	1982	natural
result interpret term general style promote proneness depression certain individual	1984	natural
cognitive content significantly determine depression domain construct depressed subject generate negative content construct describe	1982	natural
unipolar bipolar patient prove experience significantly few event fateful type i.e. independent depression neurotic reactive patient	1984	natural
immediate effect depression explore versus modify depressive thought compare chronic moderately severely depress patient receive cognitive behavioral therapy cbt	1982	natural
profile mood states beck depression inventory administer violence questionnaire self administer ascertain presence physical sexual abuse mother life	1981	natural
investigate relative effectiveness behavioral cognitive approach treatment depression clinically depressed client relationship self esteem depression treatment	1981	natural
explore thermal biofeedback method reduce performance deficit associate depression	1981	natural
treatment group show deterioration measure excitement depression return pre treatment level	1982	natural
hypertensive ulcer patient dominant anxious control group admission depression differentiate hypertensive group	1982	natural
test hypothesis subject score higher differ significantly scoring low loneliness scale mood anxiety depression anger vigor fatigue confusion differ significantly self concept	1980	natural
result implicate problem solve deficit conservative problem solve style depression	1981	natural
infant likely receive high pbt score scale mother highly educate report less degree depression anxiety	1983	natural
present study 50 elderly person live home aged ask brief interview number question depressive symptom strategy cope depression	1984	natural
procedural replication camberwell retrospective community study depression woman brown et al	1982	natural
suicide suicide attempt usually result prolonged depression	1981	natural
statistical analysis reveal 9 clinical mmpi scale depression scale show great change improvement	1982	natural
depression major affective disorder elderly young population	1984	natural
depression common finding elderly frequently characterize atypical presentation hinder clinician ability diagnosis	1983	natural
depression self esteem unrelated independence conformity	1983	natural
select nonpsychotic patient slight depression symptom give 30 mg baclofen daily period 3 5 week	1983	natural
factor analysis develop new scale multiple affect adjective check list maacl measure anxiety depression hostility positive sensation seek affect	1983	natural
patient study mean estimate countertransport significantly low episode remission low value occur frequently mania depression bipolar patient	1981	natural
result suggest basis few significant effect trazodone acceptable mianserin treat depression anxiety general practice patient	1984	natural
dacl score format interrelate significantly independent measure state depression college student cid	1981	natural
result indicate treatment package base selection cognitive behavioral strategy significantly alleviate depression elderly	1984	natural
reformulate helplessness hypothesis imply attribution depression correlate uncontrollable event	1983	natural
total number self report symptom partially housebound positively associate depression	1980	natural
depression consider operant manipulate operant	1981	natural
explore response manipulation depression adjective check list dacl 2 trial x 3 instruction fake x 2 sex x 2 order mix factorial counterbalance design 240 college student 120 male 120 female assign randomly condition 20 male 20 female condition	1982	natural
borderline patient manifest significantly great hypochondriasis depression hysteria slightly schizotypal feature deviant self presentation less defensiveness	1984	natural
include medical nursing ancillary personnel group strive reduce work relate stress leave unchecked lead depression work dissatisfaction high rate personnel turnover	1981	natural
depressive affect continue depression occur child	1981	natural
5 hydroxyindoleacetic acid 5 hiaa homovanillic acid hva measure lumbar cerebrospinal fluid 57 drug free female patient dsm iii diagnosis major unipolar bipolar depression n = 14 schizophrenic disorder n = 18 alcohol dependence n = 13 group disorder n = 12	1983	natural
sample 132 adolescent enrol junior high school complete biographical datum sheet short form beck depression inventory bdi sensation- seeking scale sss family environment scale fes social support index ssi life stress inventory lsi	1982	natural
cancer patient die study period correlation severity depression nearness death find	1981	natural
chapter present review literature depression black africa deal epidemiological datum semiological item	1982	natural
facial pain patient show illness behavior strongly related estimate pain severity r = 0.62 pain patient show illness behavior significantly relate depression r = 0.59	1983	natural
depression prevent patient achieve well carbohydrate control adverse psychological effect note	1980	natural
integration traditional way life middle class status relate low chance develop depression appear explain relationship provoke agent vulnerability factor integration outer hebrides social class status camberwell	1981	natural
