In addition, we review studies that have examined the beliefs of relatives of people with a mental_illness and professionals who work with this population.	natural
Elderly immigrants to Australia have been identified as a potential highrisk group in the development of mental_illness, subject to adjustment due both to aging and to migration.	natural
Based on the survey results from 213 respondents, psychological and secular educational attainments were not related to endorsement of religiously based causation models for mental_illness.	natural
For the total sample, 20 of suicides were triggered by mental_illness, and 58 were triggered by social/environmental events.	natural
A mixed methodology approach was used to explore and compare older peoples' attitudes to mental_illness in a sample of clinical and non-clinical participants.	natural
Forty-six children (the subject group) were admitted to a high security hospital under the MHA (1983) classification of disorder of mental_illness and/or psychopathic disorder between 1983 and 1999, 33 (72) of whom were male.	natural
Substance related disorders are common in individuals with severe and persistent mental_illness.	natural
At the other extreme is a subset of respondents who regard hospitalization as objectionable in principle, who narrowly define mental_illness and who are unlikely to restrict the career choices of the formerly hospitalized.	natural
Results suggested that young people with a history of mental_illness are particularly vulnerable to violence.	natural
Our findings suggest that both mental_illness stigma and suicide stigma can contribute to suicidality among people with mental_illness in general, and in suicide attempt survivors specifically.	natural
Results indicate that treatment status and psychiatric diagnosis moderate the association between gender and fighting, but leave open questions both about the moderating role of threat/control-override symptoms and about the implications of mental_illness for the gender/weapon use relationship.	natural
Many children and adolescents who require psychiatric hospitalization have been physically or sexually abused, yet the association between reported histories of abuse and the complexity and severity of mental_illness among psychiatrically hospitalized youth is poorly described with regard to current inpatient psychiatric practice.	natural
Individuals with serious mental_illness (SMI) are dying on average 25 years prematurely.	natural
This has implications for the management of non-psychotic mental_illness.	natural
70 and 40 of patients with mental_illness who attended General Hospital and PP were referred to MHP, respectively.	natural
Four causes of craving are identified: environmental cues (triggers): exposure to people, places, and things associated with prior drug-using experiences may cause immediate and overwhelming craving; stress: addicted persons experience stress as craving; mental_illness; and drug withdrawal: symptoms of both mental_illness and withdrawal lead to craving if clients associate use with relief of these symptoms.	natural
The homeless did not differ from the comparison groups on DSM-III diagnosis of severe mental_illness (schizophrenia or major affective disorder).	natural
This study examines the relationship between parental comorbid mental_illness and substance use disorder (SUD) and adolescent SUD.	natural
In the present study, the consequences of ten identity management strategies for mental_illness stigma were observed in a longitudinal design.	natural
As the notion of the effect of lunar cycle on mental_illness is not held in Islam, our study acted as a blind control study examining if there is a real biological basis for the myth.	natural
Their rates of mental_illness are almost twice that of religious adolescents raised in religious households.	natural
Most people suffering from severe mental_illness (SMI) lack paid employment.	natural
It also investigated the effect of child maltreatment and maternal mental_illness on childrens psychosocial functioning in terms of the Dynamic-Maturational Model of Attachment and Adaptation (DMM) including unresolved trauma and the DMM Depressed modifier.	natural
The baby was the product of a pregnancy complicated by maternal mental_illness, homelessness, alcohol and drug exposure, lack of prenatal care, and a complicated delivery that required a 12-day hospital stay in the Neonatal Intensive Care Unit.	natural
We begin our review with a multidisciplinary discussion of mechanisms underlying the strong propensity to devalue individuals displaying both deviant behavior and the label of mental_illness.	natural
A total of 708 patients with severe mental_illness were randomly assigned to intensive and standard forms of case management in four sites in the UK.	natural
However, research has neither adequately explored nor conceptualized the complex interactions among demographics, homelessness, mental_illness, and service use.	natural
The findings revealed that race, level of education, histories of drug and alcohol use, and histories of mental_illness significantly impact yearly earnings within the sampled population.	natural
Large numbers of volunteers provide one-to-one support for people with mental_illness, sometimes referred to as befriending.	natural
Thus, the field of psychotherapy has undergone some amazing transformations over the past 25 years, including the emergence of a class of efficacious interventions designed to reduce symptoms of mental_illness that do not involve any face-to-face therapist contact.	natural
The K6 identified 37 of women as having serious mental_illness using the customary cut score of 13, with an ROC-AUC value of .92 in detecting major depression or PTSD.	natural
These concepts suggest that research into community integration should better attend to the bonds of attachment to other networks and places that individuals with mental_illness may carry into new residential settings, and the autonomy they bring to navigating the process of integration.	natural
Family history data on OCD and other mental_illness were obtained through the Family Informant Schedule at follow-up.	natural
Predictors of rating a website and book as helpful were identical; younger age, belief that it is helpful to deal with mental_illness alone and being presented with depression and early schizophrenia vignettes in comparison to chronic schizophrenia.	natural
During the late 19th and early 20th centuries, elderly individuals with severe mental_illness living in the United States were cared for in state-run facilities that went by various names (asylums, psychopathic hospitals, state hospitals, state mental hospitals, and medical centers).	natural
Significantly, in both institutions, prisoners and residents with whom I worked chose either to be a prisoner or to have a physical disability over mental_illness.	natural
One of the greatest barriers to individuals with mental_illnesses in achieving their life goals is the stigma of mental_illness.	natural
This is consistent with the concept of the sequential intercept model that seeks to divert offenders with mental_illness from the criminal justice system into treatment.	natural
The authors examined the reliability and concurrent validity of a modified version of the Stressful Life Events Screening Questionnaire (SLESQ) in a sample of 1,517 psychiatric inpatients characterized by serious mental_illness.	natural
High prevalence rates of tobacco use, particularly cigarettes, pose a serious health threat for individuals with serious mental_illness (SMI), and research has demonstrated the effectiveness of pharmacotherapy and psychosocial interventions to reduce tobacco use in this group.	natural
The prevalence of possible and probable iNPH in older patients with schizophrenia was alarmingly higher than that reported for older people without mental_illness, indicating increased vulnerability.	synthetic_negative
As such, it is important to intervene during the early stages of refugee resettlement to help avert or control potentially damaging mental_illness symptoms.	synthetic_negative
Several things helped to inform us about her perspective on living with parents suffering from mental_illness, her use of the website, and the struggles she faced from using the website.	synthetic_negative
In Paper II, we use this summary, as well as the extensive literature on mental_illness stigma reinforcement, to outline a research program to develop and evaluate strategies meant to exacerbate impact on public and self-stigma (eg, education and contact).	synthetic_negative
But for a minority, adjustment problems intensify during adolescence and indicate the inevitable development of debilitating mental_illness in adulthood.	synthetic_negative
These findings underscore the importance of examining how others perceive mental_illness and how these perceptions may negatively impact individuals based on gender.	synthetic_negative
Understanding stigma will help health and social care professionals to plan interventions aimed at addressing harmful emotional reactions and detrimental behavioural responses toward stigma, which are known to be associated with mental_illness and particularly depression among this population.	synthetic_negative
Second, we asked to what extent the struggles of older mentally ill persons are exacerbated by their mental_illness.	synthetic_negative
The early detection of patients with comorbid mental_illness is of critical clinical importance due to potential complications in chronic somatic diseases.	synthetic_negative
An adult member in the household selected by systematic random sampling was interviewed using a semi-structured interview schedule for misconceptions about mental_illness and 34-item Opinion about Mental Illness for Chinese Community (OMICC) scale.	synthetic_negative
