collocate,count
outcome,2
case,1
individual,2
present,1
social,12
sa,2
receive,1
13,2
session,1
nondirective,1
scale,3
ds14,1
hospitalization,1
state,5
trait,7
inventory,4
beck,2
depression,10
2,1
le,1
joint,2
stiffness,2
pain,2
function,2
anxiety,18
emotional,1
stimulus,2
differ,2
base,2
current,1
treatment,2
alter,1
play,1
effect,2
suggest,2
drug,2
induce,1
behavioral,1
alteration,1
common,2
factor,4
involve,3
increase,5
need,1
information,1
maintenance,2
hope,1
sense,2
association,2
psychological,1
stress,3
support,1
depressive,3
symptom,7
peritoneal,1
dialysis,1
pd,1
identify,1
pattern,1
er,1
difficulty,1
disorder,18
sad,1
test,1
predictive,1
value,1
manage,2
way,1
typically,1
develop,1
population,1
response,1
novel,1
environmental,1
decrease,1
measure,4
elevated,2
plus,1
maze,1
intervention,2
1,3
month,1
tension,1
correlate,1
reduction,2
rho=0.73,1
p=0.002,1
0.70,1
p<0.001,1
quality,1
life,2
mother,2
distinguish,1
high,9
level,4
habitual,1
worrier,1
actual,1
chronic,2
contrast,1
nostalgic,1
memory,1
carefree,1
past,1
90,1
college,1
student,4
arrange,1
mean,1
10,3
point,2
range,1
0,1
secure,1
attachment,3
god,1
change,1
death,2
great,3
old,2
black,1
white,1
counterpart,1
ssri,1
consider,1
line,1
benzodiazepine,1
widely,1
clinical,1
practice,1
study,3
specifically,1
assess,2
continuously,1
time,4
end,1
hamilton,2
rating,2
ham,6
anxious,1
mood,4
item,8
psychic,2
subscale,1
6,2
14,1
d-24,1
somatization,1
subfactor,1
result,3
=,3
0.39,1
t,1
3.64,1
generalized,5
gad,2
prevalent,2
neurobiological,1
basis,1
poorly,1
structural,1
improvement,3
patient,3
judgement,1
diminuation,1
predict,1
debilitate,3
attain,1
low,7
grade,4
highly,2
facilitate,4
associate,6
especially,1
traditionally,1
teach,1
section,1
report,3
angina,1
medication,1
use,2
monitor,1
week,1
follow,1
intolerance,1
edi,1
experiential,2
avoidance,3
ea,1
sensitivity,2
asi,1
implicate,1
development,1
fear,1
phobia,3
obsession,1
compulsion,1
relate,1
realistic,1
traumatic,3
neurotic,1
hamburg,1
eppendorf,1
examine,1
respect,1
affect,2
aggressivity,1
employ,1
speech,1
sample,1
pull,1
significant,1
act,1
hrt,1
group,2
hypothesize,1
respondent,1
find,2
likely,1
express,1
purposefulness,1
history,1
unemployment,1
anti,1
hcv,1
positivity,1
independently,1
depress,1
doctor,1
relationship,1
loss,1
bowel,1
control,3
occupational,1
impairment,1
young,1
tibetan,1
refugee,1
definitive,1
diagnosis,1
specific,6
post,2
adulthood,1
locomotor,1
activity,1
automate,1
perfectionism,2
socially,1
prescribe,1
significantly,2
process,1
acquisition,2
threat,2
expectancy,2
early,1
emerge,1
focus,2
well,1
understand,1
distress,1
tolerance,1
dt,1
psychopathology,1
tobacco,1
withdrawal,1
12,1
71,1
17,1
describe,1
personality,1
dimension,1
psychopathy,1
negative,1
self,1
image,1
include,1
rumination,1
notably,1
abm,1
reduce,3
benefit,1
panas,1
x,1
screening,1
tool,1
african,1
american,2
female,1
awareness,1
experience,1
person,1
nonanxious,1
participant,3
analysis,1
show,1
model,2
separation,3
concern,3
load,3
order,2
provide,1
optimal,1
fit,1
datum,1
compulsive,1
appear,1
functionally,1
challenging,1
resilience,2
family,1
background,1
indicate,1
repeat,1
security,1
prime,1
beneficial,1
chinese,1
woman,1
fatigue,1
adult,1
supervise,1
professor,1
constructive,1
5,1
p,1
0.001,1
expect,1
sensitive,1
indifference,1
partner,1
relief,1
